package_type,distance_km,weight_kg,urgency,transport_mode,route_duration_hours,eta_hours,dataset_type
Documents,306.53,69.04,Medium,Truck,7.31,7.82,synthetic
Pharmaceutical,179.15,9.6,High,Van,4.83,5.01,synthetic
Food,99.33,36.8,Medium,Air,0.18,0.3,synthetic
Electronics,426.57,20.7,Medium,Truck,8.43,9.08,synthetic
Pharmaceutical,241.99,39.41,Low,Truck,5.76,7.49,synthetic
Other,399.53,21.64,Medium,Truck,7.96,8.63,synthetic
Apparel,265.13,11.8,Medium,Truck,5.51,5.87,synthetic
Electronics,291.56,26.43,Low,Truck,6.48,7.17,synthetic
Industrial,130.42,12.15,High,Van,2.88,2.36,synthetic
Industrial,143.39,29.34,Medium,Van,3.55,4.03,synthetic
Food,131.15,63.04,Low,Van,3.48,3.76,synthetic
Pharmaceutical,200.28,52.43,Medium,Truck,4.57,5.65,synthetic
Documents,249.57,11.84,Medium,Bike,12.26,13.07,synthetic
Documents,182.86,41.63,Low,Van,4.4,5.21,synthetic
Electronics,55.64,4.99,High,Van,1.51,1.53,synthetic
Apparel,139.11,102.43,High,Truck,3.13,2.61,synthetic
Industrial,142.98,61.83,Low,Van,3.32,4.05,synthetic
Apparel,65.88,26.56,Low,Van,1.58,1.88,synthetic
Electronics,88.55,29.88,High,Truck,1.89,2.04,synthetic
Industrial,78.88,12.14,Low,Van,1.96,1.84,synthetic
Electronics,155.16,4.87,Medium,Van,4.05,4.55,synthetic
Apparel,242.28,8.26,Medium,Truck,4.88,4.85,synthetic
Food,118.1,21.01,Medium,Van,3.16,3.28,synthetic
Apparel,128.97,23.12,Low,Van,3.35,4.32,synthetic
Fragile,79.09,8.49,Critical,Van,1.87,1.43,synthetic
Food,347.96,37.47,Medium,Truck,6.99,7.16,synthetic
Pharmaceutical,131.83,6.37,Low,Van,3.52,5.22,synthetic
Pharmaceutical,221.42,103.19,Critical,Truck,4.91,4.99,synthetic
Other,531.14,30.01,Low,Truck,10.63,13.19,synthetic
Documents,138.62,122.44,Low,Truck,2.74,3.0,synthetic
Pharmaceutical,137.52,24.39,High,Van,2.96,3.56,synthetic
Apparel,43.16,23.25,High,Van,1.07,0.69,synthetic
Electronics,344.17,5.7,High,Truck,6.67,6.32,synthetic
Documents,365.74,44.34,Medium,Truck,7.4,7.6,synthetic
Food,214.81,29.79,Low,Truck,4.18,5.05,synthetic
Documents,99.76,17.88,Medium,Van,2.6,2.85,synthetic
Other,108.81,11.95,Low,Van,2.68,2.79,synthetic
Other,125.13,9.35,High,Van,3.33,2.55,synthetic
Pharmaceutical,73.61,7.34,Medium,Van,1.62,1.5,synthetic
Food,607.95,8.29,Low,Truck,14.32,17.07,synthetic
Fragile,165.06,5.41,Medium,Train,2.4,2.63,synthetic
Documents,368.3,29.11,Medium,Truck,7.87,8.32,synthetic
Pharmaceutical,169.34,245.3,Low,Truck,3.54,4.64,synthetic
Pharmaceutical,217.63,7.22,Medium,Truck,4.14,5.04,synthetic
Industrial,249.16,7.23,High,Truck,5.68,5.25,synthetic
Documents,168.6,18.59,High,Van,4.47,3.23,synthetic
Pharmaceutical,223.01,16.3,High,Truck,4.67,5.43,synthetic
Food,331.85,17.09,Medium,Truck,7.41,7.69,synthetic
Pharmaceutical,609.49,89.58,Critical,Truck,14.12,13.36,synthetic
Other,147.29,26.4,High,Van,3.8,3.1,synthetic
Fragile,190.43,88.98,Critical,Truck,4.29,4.27,synthetic
Industrial,172.97,6.76,Critical,Van,4.32,3.77,synthetic
Other,185.48,6.44,Critical,Van,4.65,3.59,synthetic
Pharmaceutical,277.59,1.97,Medium,Truck,6.31,7.57,synthetic
Fragile,119.85,46.99,Medium,Van,2.63,3.25,synthetic
Food,121.55,60.05,Medium,Van,3.25,3.54,synthetic
Industrial,163.49,20.74,Medium,Van,4.41,4.28,synthetic
Apparel,511.33,10.83,Medium,Truck,11.67,12.57,synthetic
Electronics,330.22,61.93,Critical,Truck,7.65,6.28,synthetic
Food,557.23,14.83,Low,Bike,28.02,32.73,synthetic
Food,103.97,39.79,Medium,Van,2.71,2.38,synthetic
Food,130.29,40.66,Critical,Van,3.57,2.72,synthetic
Other,308.61,31.57,High,Van,6.88,6.43,synthetic
Electronics,137.6,43.52,Low,Bike,5.71,6.1,synthetic
Documents,64.23,1.88,High,Train,1.12,1.1,synthetic
Pharmaceutical,459.15,22.74,High,Truck,9.82,10.63,synthetic
Fragile,119.57,4.81,Critical,Van,2.75,2.81,synthetic
Industrial,68.89,37.79,Critical,Van,1.49,1.19,synthetic
Food,118.69,13.64,Low,Van,2.87,3.54,synthetic
Industrial,228.16,36.53,High,Truck,4.64,3.78,synthetic
Fragile,395.53,37.4,High,Truck,8.25,9.25,synthetic
Industrial,190.29,29.26,Low,Van,4.56,5.53,synthetic
Food,101.15,4.27,Medium,Van,2.36,2.32,synthetic
Industrial,703.5,82.81,Medium,Truck,15.26,16.15,synthetic
Fragile,279.62,16.89,High,Truck,5.87,6.07,synthetic
Industrial,211.91,118.69,Medium,Truck,4.99,5.34,synthetic
Industrial,244.99,9.61,High,Truck,4.74,4.6,synthetic
Fragile,234.29,17.91,High,Truck,4.6,5.09,synthetic
Documents,44.99,4.74,Low,Van,1.01,0.94,synthetic
Industrial,22.76,13.49,Low,Van,0.59,0.5,synthetic
Pharmaceutical,147.21,27.37,High,Train,2.16,2.36,synthetic
Food,339.84,147.21,Low,Truck,7.86,10.01,synthetic
Electronics,484.29,15.08,Low,Truck,10.99,13.09,synthetic
Food,93.8,14.98,Low,Truck,1.87,2.44,synthetic
Electronics,33.92,10.33,Medium,Van,0.9,1.03,synthetic
Food,151.81,20.59,High,Train,2.42,2.46,synthetic
Apparel,267.62,33.99,High,Truck,5.72,5.19,synthetic
Apparel,75.86,9.23,Critical,Van,2.04,1.69,synthetic
Fragile,340.4,55.33,Low,Train,5.3,7.15,synthetic
Other,172.85,32.73,Medium,Van,4.36,4.09,synthetic
Pharmaceutical,151.9,36.59,Medium,Van,4.13,4.78,synthetic
Fragile,298.89,220.75,Critical,Truck,6.47,6.28,synthetic
Food,215.79,181.89,Critical,Truck,4.44,3.19,synthetic
Other,134.76,13.84,Low,Van,3.26,3.24,synthetic
Electronics,442.36,12.3,High,Truck,10.42,9.88,synthetic
Food,55.71,44.34,Low,Van,1.42,1.19,synthetic
Industrial,73.86,53.8,Critical,Train,1.09,1.41,synthetic
Electronics,218.82,12.41,Low,Air,0.35,0.3,synthetic
Fragile,33.48,144.32,Medium,Truck,0.68,0.3,synthetic
Industrial,148.36,19.91,Medium,Van,3.25,3.61,synthetic
Food,762.71,29.64,High,Truck,14.84,13.95,synthetic
Industrial,74.47,3.66,Critical,Van,2.0,2.29,synthetic
Apparel,83.71,46.8,Medium,Bike,3.86,4.15,synthetic
Other,55.46,24.06,Medium,Van,1.28,1.32,synthetic
Apparel,58.5,41.69,Medium,Van,1.51,1.88,synthetic
Fragile,72.11,61.52,Medium,Van,1.92,2.42,synthetic
Industrial,237.79,20.42,Medium,Truck,5.05,5.76,synthetic
Fragile,127.66,15.2,High,Van,3.16,3.79,synthetic
Industrial,134.65,34.66,High,Van,2.91,1.91,synthetic
Industrial,35.72,8.5,Low,Van,0.88,1.42,synthetic
Documents,88.1,23.04,Low,Air,0.14,0.36,synthetic
Industrial,285.21,24.17,Medium,Truck,6.63,6.99,synthetic
Documents,60.68,52.16,Medium,Van,1.6,1.67,synthetic
Fragile,36.73,4.73,Medium,Bike,1.6,1.98,synthetic
Electronics,82.79,40.15,Low,Van,1.8,2.07,synthetic
Other,202.49,57.72,Critical,Bike,9.71,8.41,synthetic
Documents,88.73,3.17,Medium,Van,2.23,2.52,synthetic
Pharmaceutical,97.01,24.84,High,Van,2.34,3.14,synthetic
Other,95.15,62.84,Medium,Van,2.38,2.97,synthetic
Other,304.3,49.43,Medium,Train,4.24,4.3,synthetic
Apparel,588.32,164.33,High,Truck,13.76,13.55,synthetic
Electronics,84.32,37.97,Low,Van,2.3,2.72,synthetic
Electronics,637.97,65.6,Low,Truck,14.94,17.88,synthetic
Food,163.08,10.8,High,Van,3.78,3.62,synthetic
Fragile,166.35,73.35,High,Van,4.43,4.65,synthetic
Fragile,230.72,37.23,Medium,Truck,5.01,5.89,synthetic
Fragile,144.98,31.15,Critical,Bike,6.79,6.1,synthetic
Pharmaceutical,225.43,15.77,Low,Truck,4.4,5.44,synthetic
Apparel,80.36,2.39,Low,Van,2.14,2.54,synthetic
Electronics,424.08,1.3,Medium,Truck,9.21,9.28,synthetic
Pharmaceutical,96.93,17.13,Critical,Van,2.51,2.19,synthetic
Other,185.84,168.86,Critical,Truck,3.87,3.41,synthetic
Apparel,110.49,71.23,Medium,Van,2.68,3.17,synthetic
Fragile,220.3,24.91,Medium,Truck,4.92,5.13,synthetic
Documents,66.05,23.01,Medium,Van,1.52,1.9,synthetic
Other,136.34,12.89,Low,Van,2.96,3.15,synthetic
Documents,48.21,2.84,High,Van,1.12,0.99,synthetic
Other,212.28,69.58,Critical,Truck,5.03,3.8,synthetic
Food,134.03,1.57,Medium,Van,3.36,3.34,synthetic
Electronics,186.23,17.41,Low,Van,4.64,5.19,synthetic
Industrial,238.12,27.46,Medium,Truck,4.72,4.77,synthetic
Apparel,154.81,6.02,Low,Van,4.1,4.58,synthetic
Industrial,117.27,72.69,Medium,Van,3.12,2.99,synthetic
Food,470.78,3.1,Medium,Truck,11.13,11.74,synthetic
Documents,676.9,20.35,Medium,Truck,14.22,15.02,synthetic
Pharmaceutical,248.1,88.4,Low,Truck,4.86,6.75,synthetic
Other,350.09,63.6,Medium,Truck,7.15,7.78,synthetic
Electronics,221.97,16.59,Medium,Truck,5.3,5.72,synthetic
Pharmaceutical,248.7,41.48,Medium,Truck,4.73,6.09,synthetic
Industrial,871.35,24.48,High,Truck,17.3,16.04,synthetic
Fragile,176.81,5.47,High,Van,3.85,4.3,synthetic
Food,148.72,21.83,Low,Van,4.0,4.39,synthetic
Food,135.82,5.16,Medium,Van,3.68,3.33,synthetic
Industrial,303.36,37.03,Low,Air,0.55,0.55,synthetic
Food,333.42,124.86,High,Truck,7.53,7.07,synthetic
Other,197.32,28.33,High,Van,4.99,4.36,synthetic
Fragile,282.52,24.61,Medium,Truck,6.28,7.29,synthetic
Industrial,76.37,119.89,Low,Truck,1.77,1.78,synthetic
Industrial,188.01,18.15,High,Van,4.35,4.13,synthetic
Other,279.02,2.41,Medium,Truck,6.12,6.44,synthetic
Other,376.86,90.59,High,Truck,8.41,8.05,synthetic
Fragile,361.51,13.28,Critical,Truck,8.39,7.39,synthetic
Food,295.6,27.44,Medium,Truck,5.92,6.06,synthetic
Other,246.23,6.26,High,Truck,5.59,6.01,synthetic
Other,507.96,28.93,Medium,Truck,10.21,10.93,synthetic
Apparel,131.69,85.24,Medium,Truck,2.47,2.27,synthetic
Food,498.49,22.53,High,Truck,9.65,8.84,synthetic
Food,212.46,104.68,Low,Truck,5.02,6.55,synthetic
Other,163.06,39.48,Low,Van,4.35,5.03,synthetic
Food,286.37,18.09,High,Truck,6.12,5.93,synthetic
Documents,114.52,94.53,High,Truck,2.58,2.76,synthetic
Apparel,278.63,47.38,Medium,Truck,5.74,6.33,synthetic
Apparel,103.94,102.92,High,Truck,2.35,2.12,synthetic
Electronics,194.69,26.76,Critical,Van,4.35,3.71,synthetic
Food,248.45,24.62,Low,Truck,5.66,6.65,synthetic
Apparel,169.2,18.76,High,Van,4.45,4.02,synthetic
Industrial,476.85,20.46,High,Truck,9.58,8.86,synthetic
Electronics,603.75,1.91,High,Truck,11.98,11.03,synthetic
Fragile,252.44,16.08,Low,Truck,5.82,7.77,synthetic
Industrial,122.36,52.86,Low,Van,3.26,4.4,synthetic
Other,67.2,6.65,Critical,Van,1.56,0.75,synthetic
Documents,1012.52,178.02,Medium,Truck,19.25,20.53,synthetic
Apparel,90.15,22.35,Medium,Van,2.23,2.41,synthetic
Food,242.8,5.74,Medium,Truck,5.41,5.91,synthetic
Apparel,145.28,36.67,Medium,Van,3.88,4.64,synthetic
Documents,151.46,55.99,Medium,Van,3.77,3.58,synthetic
Apparel,86.42,5.73,Medium,Van,1.94,2.01,synthetic
Industrial,113.07,11.21,Critical,Truck,2.28,2.18,synthetic
Apparel,159.15,11.19,Medium,Van,3.51,3.06,synthetic
Food,458.27,23.36,Low,Truck,9.85,11.95,synthetic
Fragile,261.59,54.68,Low,Truck,5.69,7.8,synthetic
Other,79.13,26.98,Critical,Van,1.97,1.63,synthetic
Electronics,279.42,135.24,Medium,Truck,6.1,7.16,synthetic
Industrial,190.11,15.59,Medium,Van,4.52,4.21,synthetic
Food,524.14,10.21,Medium,Truck,11.34,11.71,synthetic
Other,612.63,14.43,Medium,Truck,12.73,13.68,synthetic
Apparel,175.09,21.61,Medium,Van,4.72,5.2,synthetic
Documents,499.97,16.24,Low,Truck,10.88,12.89,synthetic
Industrial,563.43,36.6,Low,Van,14.93,17.04,synthetic
Industrial,189.11,32.31,Medium,Van,5.04,6.03,synthetic
Pharmaceutical,133.31,15.89,Medium,Van,3.28,4.17,synthetic
Fragile,114.09,6.87,Critical,Van,3.04,2.07,synthetic
Food,152.05,1.6,Medium,Van,3.64,2.85,synthetic
Pharmaceutical,79.36,59.44,Medium,Van,1.83,2.38,synthetic
Industrial,235.86,4.79,Low,Truck,4.62,5.26,synthetic
Pharmaceutical,60.7,31.55,Medium,Van,1.49,1.21,synthetic
Food,48.69,7.52,Low,Van,1.16,1.52,synthetic
Electronics,251.64,50.59,Critical,Truck,5.55,4.32,synthetic
Electronics,125.37,7.88,Low,Van,2.72,2.95,synthetic
Food,167.94,18.58,Medium,Van,4.44,4.8,synthetic
Documents,139.3,14.04,Low,Van,3.31,3.79,synthetic
Pharmaceutical,53.88,63.32,Low,Van,1.25,1.27,synthetic
Electronics,354.86,4.64,Critical,Truck,8.21,6.18,synthetic
Documents,233.97,45.23,Low,Truck,5.48,7.04,synthetic
Food,145.15,20.47,Medium,Van,3.45,4.07,synthetic
Industrial,229.4,8.96,Low,Truck,5.03,5.76,synthetic
Apparel,667.56,47.6,Medium,Truck,15.77,16.22,synthetic
Electronics,144.49,19.6,Medium,Bike,6.84,7.3,synthetic
Electronics,180.16,43.14,Medium,Van,4.52,4.24,synthetic
Fragile,99.83,284.92,Medium,Truck,2.36,2.95,synthetic
Other,156.56,37.7,High,Van,3.96,3.35,synthetic
Electronics,286.65,55.7,Medium,Truck,5.66,5.7,synthetic
Food,213.98,22.38,Medium,Truck,5.12,4.96,synthetic
Fragile,233.32,5.31,Medium,Truck,5.15,6.16,synthetic
Food,524.01,17.51,Critical,Truck,9.99,8.4,synthetic
Industrial,506.25,21.64,High,Truck,11.16,10.93,synthetic
Industrial,355.69,11.06,High,Truck,7.46,7.22,synthetic
Apparel,69.95,5.1,High,Van,1.55,1.82,synthetic
Fragile,37.25,19.89,High,Van,0.82,0.34,synthetic
Pharmaceutical,248.39,45.59,Low,Truck,5.64,7.8,synthetic
Electronics,335.17,5.42,Low,Truck,6.76,7.77,synthetic
Food,85.61,16.63,Medium,Van,2.23,1.95,synthetic
Electronics,79.28,13.16,High,Van,1.87,1.84,synthetic
Electronics,41.47,23.4,Medium,Van,0.96,1.03,synthetic
Food,339.31,2.73,Medium,Truck,7.71,7.85,synthetic
Apparel,46.8,6.08,High,Van,1.25,1.09,synthetic
Food,385.76,91.69,High,Truck,8.23,7.9,synthetic
Food,360.34,6.81,Medium,Truck,7.18,7.81,synthetic
Documents,523.98,18.41,Critical,Truck,10.92,8.95,synthetic
Pharmaceutical,153.6,3.46,High,Van,3.56,3.81,synthetic
Electronics,120.64,16.41,Low,Van,3.07,3.38,synthetic
Electronics,319.38,20.9,Low,Truck,6.22,7.09,synthetic
Other,116.24,6.82,Medium,Van,2.79,2.38,synthetic
Pharmaceutical,155.41,35.72,Medium,Van,4.1,4.42,synthetic
Industrial,38.48,35.88,Medium,Van,0.94,1.19,synthetic
Documents,166.74,4.12,Low,Van,3.76,4.1,synthetic
Fragile,67.56,20.26,Medium,Van,1.84,2.33,synthetic
Food,214.22,139.15,Medium,Truck,4.86,5.64,synthetic
Food,145.67,109.28,Medium,Truck,3.34,3.5,synthetic
Food,221.79,18.59,High,Truck,4.31,3.75,synthetic
Fragile,52.25,35.04,Medium,Truck,1.02,1.23,synthetic
Food,207.41,85.22,Medium,Truck,4.13,4.55,synthetic
Pharmaceutical,77.18,9.84,Critical,Van,1.71,1.68,synthetic
Electronics,358.41,24.76,High,Truck,8.11,7.67,synthetic
Other,131.29,50.06,High,Van,3.21,2.94,synthetic
Fragile,111.51,14.05,Medium,Van,2.88,3.26,synthetic
Fragile,60.52,37.61,Medium,Van,1.56,1.89,synthetic
Electronics,168.7,177.35,Medium,Truck,3.25,3.61,synthetic
Other,220.82,11.38,Critical,Truck,5.27,4.38,synthetic
Pharmaceutical,58.53,72.78,High,Van,1.54,1.51,synthetic
Apparel,88.43,13.58,Medium,Van,1.92,2.25,synthetic
Pharmaceutical,164.19,64.09,Low,Air,0.29,0.33,synthetic
Fragile,205.39,6.21,High,Truck,4.68,5.66,synthetic
Pharmaceutical,209.04,7.09,Medium,Truck,4.61,4.62,synthetic
Other,131.97,32.65,Medium,Van,3.53,3.52,synthetic
Fragile,283.92,21.66,Medium,Truck,6.66,7.66,synthetic
Pharmaceutical,71.03,77.64,Low,Van,1.55,2.76,synthetic
Apparel,194.09,8.72,Low,Van,5.05,5.99,synthetic
Food,156.01,5.02,High,Van,3.66,2.9,synthetic
Other,102.12,27.73,Low,Van,2.34,2.95,synthetic
Industrial,105.4,13.0,High,Van,2.45,2.57,synthetic
Apparel,117.54,11.92,High,Van,2.72,2.73,synthetic
Apparel,88.1,26.51,High,Van,2.24,1.85,synthetic
Fragile,86.81,20.93,Low,Van,1.98,2.3,synthetic
Pharmaceutical,145.81,14.93,Medium,Van,3.53,4.77,synthetic
Industrial,223.15,5.58,High,Truck,4.88,5.01,synthetic
Documents,32.94,8.32,Medium,Van,0.8,1.23,synthetic
Documents,223.87,74.97,Medium,Truck,4.2,4.57,synthetic
Apparel,144.32,17.12,High,Van,3.9,3.45,synthetic
Pharmaceutical,247.08,17.55,High,Truck,5.61,5.13,synthetic
Electronics,186.38,70.58,Medium,Van,4.24,4.61,synthetic
Other,204.2,14.76,Medium,Truck,4.88,5.31,synthetic
Apparel,310.59,94.06,Critical,Truck,7.17,6.23,synthetic
Industrial,539.79,9.36,Medium,Truck,12.37,13.03,synthetic
Documents,271.8,27.02,Medium,Truck,5.67,6.51,synthetic
Apparel,120.17,24.83,Medium,Van,3.18,2.9,synthetic
Documents,82.86,16.07,High,Van,1.86,1.8,synthetic
Electronics,290.17,41.37,Medium,Truck,5.47,6.16,synthetic
Documents,286.84,7.44,High,Bike,14.35,13.32,synthetic
Electronics,291.48,16.32,Low,Truck,5.77,6.64,synthetic
